약국명,대표전화,도로명주소,지번주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
성지약국,02-972-9890,"서울특별시 중랑구 공릉로12가길 52, (묵동)",서울특별시 중랑구 묵1동 153-35,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,17:30~22:30,17:30~22:30,17:30~22:30
성화열린약국,043-233-8207,충청북도 청주시 서원구 서부로 1350,충청북도 청주시 서원구 성화개신죽림동 717,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
세계로약국,061-653-9777,"전라남도 여수시 여서로 158, (여서동)",전라남도 여수시 여서동 490-7,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:20~22:30,08:30~22:00,08:30~22:00
세계로약국,041-577-6770,충청남도 천안시 서북구 월봉로 93 (쌍용동),,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,10:00~22:00,10:00~22:00
세곡온누리약국,070-8828-7963,"서울특별시 강남구 헌릉로569길 27, 2층 (세곡동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
세란약국,042-486-0214,"대전광역시 서구 둔산로 34, 102호 (둔산동,씨엔씨타워)",대전광역시 서구 둔산2동 1039,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
세븐웰약국,032-328-8703,"경기도 부천시 길주로 118, 3층 (상동, 홈플러스부천상동점)",경기도 부천시 원미구 상동 540-1 삼성홈플러스상동점홈플러스상동점,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~24:00,09:00~23:00,
세원약국,02-922-6060,서울특별시 성북구 동소문로20가길 51  (동선동1가),서울특별시 성북구 동선동1가 119-9 수국빌딩,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,15:00~23:00,09:00~23:00
세종약국,051-758-4915,"부산광역시 수영구 광안해변로277번길 3, (민락동)",부산광역시 수영구 민락동 176-29,21:00~23:59,12:00~00:00,12:00~00:00,12:00~00:00,12:00~00:00,12:00~01:00,12:00~01:00,12:00~00:00
세종약국,041-579-3675,"충청남도 천안시 동남구 서부대로 276 , 101호 (신방동)","충청남도 천안시 동남구 신방동  886 학산프라자 , 101호 (신방동)",08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~23:00,09:00~23:00
세종약국,043-213-0068,"충청북도 청주시 청원구 오창읍 과학산업3로 202-7, 1층 102~103호",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
세화당약국,02-434-8794,서울특별시 중랑구 중랑역로 21  (중화동),서울특별시 중랑구 중화동 320-27 세화당약국,11:30~22:30,11:30~22:30,11:30~22:30,11:30~22:30,11:30~22:30,11:30~22:30,11:00~23:30,11:30~22:30
세화약국,064-784-8442,제주특별자치도 제주시 구좌읍 세화10길 1,제주특별자치도 제주시 구좌읍 상도리 1324-7,08:00~19:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~19:00,08:00~15:00,,08:00~12:00
센타약국,032-552-1168,"인천광역시 계양구 계산새로 93, 103호 (용종동,밀레니엄프라자)",인천광역시 계양구 용종동 211-4,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,10:00~25:00,11:00~22:00,,
센터약국,031-842-3600,"경기도 의정부시 행복로 32, 1층 (의정부동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
셀약국,02-337-7959,"서울특별시 마포구 양화로 72, 1층 118호 (서교동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,21:00~25:00,22:00~25:00
소담약국,062-651-4948,"광주광역시 서구 풍암중앙로 39, 광주은행(대복빌딩) 1층 (풍암동)",,08:30~19:30,08:30~19:30,08:30~19:30,08:30~23:00,08:30~23:00,08:30~14:00,,
송내역온누리약국,032-613-1714,"경기도 부천시 송내대로 43, 2층 (송내동)",,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,,
송우수약국,031-541-8953,"경기도 포천시 소흘읍 솔모루로 9,",경기도 포천시 소흘읍 송우리 730-60 홈플러스1층,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,
송탄온누리약국,031-662-1102,"경기도 평택시 서정북로 71, (서정동)",경기도 평택시 서정동 782-4,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
송파24약국,02-400-1502,"서울특별시 송파구 송파대로 111, 하비오길 송파대로202동 161호 (문정동, 파크하비오)",,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00
수내365약국,070-8829-0081,"경기도 성남시 분당구 내정로173번길 49, 궁전프라자-3 1층 111호 (수내동)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
수락프라자약국,02-935-7523,서울특별시 노원구 동일로 1669 (상계동),,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00
수복약국,02-714-0667,서울특별시 용산구 새창로12길 12 (도원동),,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00,07:30~25:00
수산약국,02-832-2994,"서울특별시 영등포구 대림로34길 12, (대림동)",서울특별시 영등포구 대림3동 689-4,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,
수암약국,031-466-6258,"경기도 안양시 만안구 안양로292번길 31, (안양동)",경기도 안양시 만안구 안양1동 674-179,10:30~25:00,10:30~25:00,10:30~25:00,10:30~25:00,10:30~25:00,10:30~25:00,10:30~13:00,10:30~25:00
수약국,055-244-8275,경상남도 창원시 마산합포구 현동4길 4 (우산동),,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
수약국,02-563-1601,"서울특별시 강남구 선릉로69길 19  (역삼동, 역삼래미안아파트)",서울특별시 강남구 역삼동 757 역삼래미안아파트,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,
숭실길약국,02-2088-3043,"서울특별시 동작구 상도로67길 31, 1층 (상도동)",,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,10:30~23:00,10:30~23:00,10:30~23:00
스마일약국,053-322-1897,"대구광역시 북구 동암로12길 8, 칠곡홈플러스 1층 (동천동)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
스마일약국,053-521-7831,대구광역시 달서구 달구벌대로 1467,대구광역시 달서구 용산동 230-11(지하1층)/성서 홈플러스 내 230-11,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
스타약국,02-3481-6688,"서울특별시 서초구 강남대로 437, 대원빌딩 1층 (서초동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,,
스타약국,02-470-7904,"서울특별시 강동구 천호대로 1087, 2층 203호 (천호동, 진넥스빌Ⅲ)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
시장약국,02-532-6210,서울특별시 동작구 동작대로29길 17 (사당동),,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~19:00,10:00~15:00,08:30~19:00
시장약국,031-486-7033,경기도 안산시 단원구 원초로 30,경기도 안산시 단원구 원곡2동 846,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,12:00~22:30,09:00~22:00
시화마트약국,031-497-4904,"경기도 시흥시 정왕대로 210 (정왕동, 이마트 1층)",,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:30~23:00,09:00~23:00,10:00~23:00
신도림서진약국,02-000-0000,"서울특별시 구로구 새말로 102, 신도림포스빌 135,136호 (구로동)",,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
신라약국,02-467-1192,"서울특별시 성동구 광나루로11길 26-1, (송정동)",서울특별시 성동구 송정동 73-608,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,11:00~22:00
신림수약국,02-876-5875,"서울특별시 관악구 신림로 352, 1층 (신림동, 연빌딩)",,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~18:30,,
신미소약국,02-855-9842,서울특별시 관악구 시흥대로 578 (신림동),서울특별시 관악구 신림동 1643 광안프라자,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,10:00~23:00
신성메디칼약국,031-234-5335,"경기도 수원시 팔달구 권광로 187, 1층 (인계동)",경기도 수원시 팔달구 인계동 1113,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,,
신성약국,031-595-8363,"경기도 남양주시 홍유릉로248번길 39, 123호 (금곡동,다남프라자)",경기도 남양주시 금곡동 651-10 외10필지 다남프라자 1층,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~13:00,10:00~20:00,10:00~01:00
신세계약국,041-632-2575,충청남도 홍성군 홍성읍 내포로 20 (홍성읍),,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:30,07:30~22:00,07:30~22:00
신세계약국,02-945-2636,서울특별시 종로구 종로 124-1,,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,13:00~21:00,14:00~21:00
신세계약국,043-292-5523,충청북도 청주시 서원구 1순환로1107번길 39 (분평동),,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,13:00~23:00,09:00~23:00
신영약국,031-204-3835,"경기도 수원시 영통구 삼성로 2 , 1층 (신동)","경기도 수원시 영통구 신동  941 , 1층 (신동)",10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,,10:00~22:40
신일약국,02-312-1741,서울특별시 마포구 손기정로 54 (아현동) 1층,서울특별시 마포구 아현동 706-3 1층,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,13:00~19:00,16:00~22:00,
신제일약국,031-356-7304,"경기도 화성시 남양읍 남양시장로 79, 1층 103호 ((주)픽앤츄코리아)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,
신중앙약국,043-223-0228,충청북도 청주시 상당구 중고개로 305 (금천동),,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,09:00~19:00
신중앙약국,02-822-0443,서울특별시 동작구 흑석로 103 (흑석동),,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,08:30~24:00,13:00~24:00,13:00~24:00,13:00~24:00
신창대형약국,062-962-2022,"광주광역시 광산구 신창로 70, 1층 (신창동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~21:00,09:00~21:00
신천그랜드약국,031-312-0993,경기도 시흥시 복지로 55 (대야동),,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,09:00~22:00,09:00~22:30
신촌대로약국,02-6346-2882,"서울특별시 서대문구 신촌로 121, 아남오피스텔 1층 103호 (창천동)",,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00,11:00~24:00
신탄약국,042-932-1155,대전광역시 대덕구 대덕대로1470번길 68,대전광역시 대덕구 목상동 156-10,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30
신평화약국,02-2233-2587,서울특별시 중구 청계천로 298  (신당동),서울특별시 중구 신당동 217-1 신평화상가,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,,,
신현대약국,051-802-4605,"부산광역시 부산진구 가야대로 761, 1층 (부전동)",부산광역시 부산진구 부전동 485번지 13호,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~21:00,,
씨티약국,02-553-1608,"서울특별시 강남구 강남대로 416, 1층 (역삼동, 창림빌딩)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:00~20:00,10:00~20:00
아람약국,044-862-5265,"세종특별자치시 보듬3로 143, 대영프라자 102호 (아름동)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
아름다운달과별약국,02-3157-2088,"서울특별시 은평구 통일로 855-8, (갈현동, 연신내진원와이타운)",서울특별시 은평구 갈현동 396-12,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,12:00~23:00,12:00~23:00
아빠약국,032-467-3338,인천광역시 남동구 만수서로 62 (만수동),인천광역시 남동구 만수동 1118-2,08:00~23:30,08:00~23:30,08:00~23:30,08:00~23:30,08:00~23:30,08:00~23:30,09:00~23:00,
아이약국,043-221-8275,충청북도 청주시 청원구 주성로 273 (주성동),,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,09:00~18:00,09:00~18:00,09:00~18:00
안재경약국,043-847-3363,충청북도 충주시 국원대로 184,충청북도 충주시 연수동 881,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,09:00~24:00,08:30~23:30
압구정예주약국,02-545-3819,"서울특별시 강남구 압구정로29길 65, 442빌딩 지하1층 (압구정동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30
앞서가는21세기약국,031-266-5235,"경기도 용인시 수지구 대지로 20, 101호 (죽전동, 죽전빌딩)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00,10:00~22:00,09:00~22:00
야탑차온누리약국,031-7456-7430,"경기도 성남시 분당구 야탑로65번길 8, 나인투빌딩 102호 (야탑동)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
약사랑약국,02-2039-9112,"서울특별시 강남구 테헤란로 339, 1층 (역삼동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,13:00~21:00,13:00~21:00
약손약국,063-861-1033,전라북도 익산시 함열읍 함열중앙로 7,전라북도 익산시 함열읍 와리 546-1,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:00
약수태평양약국,02-812-7088,서울특별시 동작구 장승배기로 7 (상도동),,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,
양생약국,02-872-9954,"서울특별시 관악구 남부순환로234길 27, (봉천동)",서울특별시 관악구 낙성대동 1621-1,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,,
에메랄드약국,02-3443-0991,"서울특별시 강남구 도산대로 122, 에메랄드타워 1층 (논현동)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,10:00~22:30,10:00~22:00,10:00~22:00
에버그린약국,031-282-3298,"경기도 용인시 기흥구 용구대로 2457 , 1층 (보정동)","경기도 용인시 기흥구 보정동 1019-488 이마트트레이더스 구성점 , 1층",10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,,
여리약국,02-555-7747,"서울특별시 강남구 역삼로7길 3, 1층 103호 (역삼동)",,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
역전약국,042-256-3731,대전광역시 동구 대전로 812 (정동),,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20,08:00~22:20
역전약국,031-245-3521,"경기도 수원시 팔달구 덕영대로 899, 세진브론즈빌 2층 211호 (매산로1가)",,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00,07:00~24:00
역전제일약국,055-296-2519,"경상남도 창원시 의창구 의창대로62번길 7 (팔용동, 우신빌딩)",,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,08:30~23:30,08:30~22:00
연남약국,02-336-1533,서울특별시 마포구 양화로21길 31  (동교동),서울특별시 마포구 동교동 153-1,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00,11:00~23:00
연산온누리약국,051-852-3574,"부산광역시 연제구 반송로 30, 1층 일부 (연산동)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
연진약국,02-462-3355,서울특별시 광진구 아차산로29길 12,서울특별시 광진구 화양동 9-90,12:00~23:30,12:00~23:30,12:00~23:30,12:00~23:30,12:00~23:30,12:00~23:30,,
연합약국,02-778-3465,서울특별시 중구 퇴계로 120  (남산동1가),서울특별시 중구 남산동1가 1-2,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~20:00,,08:00~19:00
열린마트약국,031-468-1662,경기도 안양시 동안구 비산로52번길 20,경기도 안양시 동안구 비산동 544-1,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,
열린연세약국,032-882-7749,인천광역시 미추홀구 토금남로 55,인천광역시 남구 학익동 661-1,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~18:00,09:00~18:00,09:00~18:00
열한시약국,070-8842-5555,"경기도 용인시 기흥구 죽전로 49, 씨티프라자 302호 (보정동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
염약국,063-278-7989,"전라북도 전주시 덕진구 매봉로 29-1, (금암동)",전라북도 전주시 덕진구 금암동2가 1583-4,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~26:00,09:00~24:00
영대정문약국,053-811-5354,경상북도 경산시 대학로 285 (대동),,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:00,10:00~22:00,10:00~22:00
영동약국,031-418-3112,"경기도 안산시 상록구 용신로 382, 105~106호 (본오동, 상경빌딩)",,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,08:30~25:00,09:00~25:00,09:00~23:00
영재약국,064-783-1959,제주특별자치도 제주시 조천읍 신북로 510-1,제주특별자치도 제주시 조천읍 함덕리 1253-3,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,08:30~18:00,11:00~20:00,09:00~12:00
영주대학로약국,054-638-1266,"경상북도 영주시 대학로 323, 1층 (가흥동)",,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
영진약국,02-2266-3453,서울특별시 중구 충무로 30-2 (초동),서울특별시 중구 초동 35-3,10:00~20:00,10:00~25:00,10:00~25:00,10:00~20:00,10:00~25:00,10:00~16:00,,
영천온누리약국,070-4233-7000,경상북도 포항시 북구 장량로 32 (장성동),경상북도 포항시 북구 장성동 1527번지 3호,08:30~22:45,08:30~22:45,08:30~22:45,08:30~22:45,08:30~22:45,08:30~22:00,16:00~22:00,08:30~22:00
오렌지 은 약국,061-685-9400,전라남도 여수시 시청로 34  (학동),전라남도 여수시 학동 36-1,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~22:00,08:30~22:00,15:00~22:00,08:30~22:00
오룡대형약국,042-222-0666,"대전광역시 중구 계룡로 809, 1층 (용두동, 동성빌딩)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00
오메가약국,032-574-7533,인천광역시 동구 봉수대로 82,인천광역시 동구 송림동 296-2,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,,10:00~22:30
오약국,055-354-8607,"경상남도 밀양시 중앙로 289, (삼문동)",경상남도 밀양시 삼문동 220-7,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~22:00,09:00~23:00
온누리대산약국,02-853-4967,"서울특별시 관악구 시흥대로 560, 1층 (신림동)",,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,17:00~22:00,
온누리우주약국,031-651-7997,경기도 안성시 공도읍 진사길 34,경기도 안성시 공도읍 진사리 36-2,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:00,,
온누리이화당약국,062-672-5511,"광주광역시 남구 서문대로654번길 4, 1층 (진월동)",광주광역시 남구 진월동 438-13,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,10:30~23:00,08:30~23:00
올리브약국,063-856-5677,전라북도 익산시 서동로 112 (동산동),전라북도 익산시 동산동 1055-1 미래전기철물 (동산동),14:00~24:00,14:00~24:00,14:00~24:00,14:00~24:00,14:00~24:00,14:00~24:00,,
옵티마자양미소약국,02-453-7985,"서울특별시 광진구 뚝섬로 606, (자양동)",서울특별시 광진구 자양2동 608-7,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,10:00~23:00
옵티마청운약국,031-241-7788,경기도 수원시 팔달구 정조로 784 (팔달로2가),,06:00~30:00,06:00~30:00,06:00~30:00,06:00~30:00,06:00~30:00,06:00~30:00,06:00~30:00,00:00~24:00
옵티마청주제일약국,043-294-0188,충청북도 청주시 상당구 월평로184번길 5 (용암동),,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,09:00~23:00,09:00~23:00
옵티마프라자약국,032-743-6789,"인천광역시 중구 공항로 272 (운서동, 인천국제공항여객터미널 3층)",,04:00~23:00,04:00~23:00,04:00~23:00,04:00~23:00,04:00~23:00,04:00~23:00,04:00~23:00,04:00~23:00
옵티마하남약국,031-791-2389,"경기도 하남시 신장로 156, 107,108호 (덕풍동,하남프라자)","경기도 하남시 덕풍동 394-1 하남프라자 107,108호",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~21:00,09:00~21:00,09:00~21:00
와부약국,031-577-7949,"경기도 남양주시 와부읍 덕소로 94,",경기도 남양주시 와부읍 덕소리 473-8,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~11:00,12:00~23:00,09:00~23:00
완미약국,02-457-3583,"서울특별시 광진구 자양로 194, (구의동)",서울특별시 광진구 구의동 234-16,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,16:00~23:00,16:00~23:00
외대조은약국,02-960-4983,"서울특별시 동대문구 휘경로 10, 1층 (이문동)",,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,10:00~24:00,10:00~24:00
용인강남약국,031-283-5453,경기도 용인시 기흥구 신구로12번길 12  (신갈동),경기도 용인시 기흥구 신갈동 64-10,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,09:00~23:30,,09:00~23:30
용인태평양약국,031-336-3292,"경기도 용인시 처인구 백옥대로1068번길 1, (김량장동)",경기도 용인시 처인구 김량장동 12-2,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,,
용한약국,032-424-4732,"인천광역시 부평구 열우물로50번길 9-2, (십정동)",인천광역시 부평구 십정동 397-20,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~23:00,,09:00~23:00
우리들약국,02-537-9286,"서울특별시 서초구 서초중앙로 230, 105 (반포동,동화반포프라자빌딩)",서울특별시 서초구 반포동 32-2,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~23:00
우리들약국,031-885-5121,경기도 여주시 세종로 73,경기도 여주시 여주읍 홍문리 269-1,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:30,08:30~22:00,,08:30~22:30
우리들약국,02-427-0012,"서울특별시 강동구 올림픽로 781, (암사동)",서울특별시 강동구 암사2동 502-20,09:00~24:00,09:00~24:30,09:00~24:30,09:00~24:30,09:00~24:30,09:00~24:30,10:00~24:30,09:00~24:30
우리들약국,063-901-9128,"전라북도 전주시 덕진구 권삼득로 303, 1층 (금암동)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30
우리온누리약국,051-728-2674,부산광역시 기장군 정관읍 정관중앙로 56,부산광역시 기장군 정관읍 매학리 748-2 프라임빌딩,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~18:00,09:00~18:00,09:00~18:00
우리집약국,041-585-1145,충청남도 천안시 서북구 직산읍 군수1길 1,,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00
우주약국,02-481-5050,서울특별시 강동구 양재대로 1571 홈플러스 지하 2층,서울특별시 강동구 천호동 42 천호복합 상업시설 홈플러스 지하 2층,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,,,
원이약국,02-333-3131,"서울특별시 마포구 와우산로 94, 제2기숙사 지하1층 B110호 (상수동)",,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,08:30~23:00,11:00~22:00,,
원주대문약국,033-763-6342,"강원도 원주시 서원대로 174, (단계동)",강원도 원주시 단계동 882번지 덕윤빌딩 1층,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
원주대형약국,033-733-1065,강원도 원주시 호저면 원문로 691,,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
원플러스약국,02-3422-6953,"서울특별시 중랑구 신내로 201, 1층 (신내동, 홈플러스 서울 신내점)",,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,10:00~22:30,09:30~22:30,,09:00~23:00
웰니스약국,02-3789-5088,"서울특별시 중구 명동10길 51, 나인트리호텔 1층 (충무로2가)",,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
웰빙프라자약국,031-381-8284,"경기도 안양시 동안구 평촌대로 131, 101호 (호계동, 아카데미센터)",,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,,
